x,y,value
41.53779654287149,-124.00729657802567,0
41.54040474041216,-123.99564672028946,0
41.54301171465885,-123.98399606124536,0
41.54561746546882,-123.97234460111899,0
41.54822199269934,-123.96069234013606,0
41.55082529620773,-123.94903927852262,0
41.553427375851314,-123.93738541650482,0
41.55602823148749,-123.92573075430919,0
41.558627862973665,-123.91407529216235,0
41.56122627016727,-123.90241903029123,0
41.56382345292575,-123.89076196892292,0
41.566419411106644,-123.8791041082848,0
41.56901414456746,-123.86744544860444,0
41.57160765316578,-123.85578599010965,0
41.57419993675917,-123.84412573302842,0
41.57679099520527,-123.83246467758906,0
41.579380828361764,-123.82080282402003,0
41.58196943608632,-123.80914017254999,0
41.58455681823665,-123.79747672340793,0
41.58714297467053,-123.78581247682297,0
41.58972790524573,-123.7741474330245,0
41.59231160982007,-123.76248159224212,0
41.59489408825141,-123.75081495470567,0
41.59747534039761,-123.73914752064522,0
41.60005536611661,-123.72747929029103,1
41.60263416526634,-123.7158102638736,1
41.605211737704785,-123.70414044162371,0
41.60778808328995,-123.69246982377227,0
41.610363201879885,-123.68079841055052,0
41.61293709333265,-123.66912620218979,0
41.61550975750638,-123.65745319892181,0
41.618081194259204,-123.64577940097836,0
41.62065140344927,-123.63410480859159,0
41.623220384934825,-123.62242942199376,0
41.62578813857407,-123.61075324141746,0
41.6283546642253,-123.59907626709541,0
41.63091996174681,-123.58739849926064,0
41.63348403099694,-123.57571993814632,0
41.63604687183405,-123.56404058398594,0
41.63860848411654,-123.55236043701312,0
41.64116886770285,-123.5406794974618,0
41.64372802245146,-123.52899776556606,0
41.64628594822085,-123.51731524156023,0
41.64884264486957,-123.50563192567891,0
41.651398112256174,-123.49394781815691,0
41.653952350239265,-123.4822629192292,0
41.65650535867748,-123.47057722913107,0
41.65905713742948,-123.45889074809796,0
41.66160768635396,-123.44720347636556,0
41.66415700530968,-123.43551541416983,0
41.666705094155375,-123.42382656174686,0
41.66925195274985,-123.41213691933311,0
41.67179758095196,-123.40044648716507,0
41.67434197862055,-123.38875526547965,0
41.67688514561453,-123.37706325451384,0
41.679427081792824,-123.36537045450495,0
41.68196778701442,-123.35367686569046,0
41.68450726113829,-123.34198248830813,1
41.687045504023494,-123.33028732259585,0
41.689582515529096,-123.31859136879184,0
41.69211829551419,-123.30689462713451,0
41.694652843837915,-123.29519709786244,0
41.69718616035945,-123.28349878121452,1
41.699718244938,-123.27179967742984,0
41.702249097432805,-123.26009978674763,1
41.70477871770311,-123.24839910940749,0
41.707307105608265,-123.23669764564914,0
41.70983426100758,-123.2249953957126,0
41.71236018376044,-123.21329235983802,1
41.71488487372627,-123.20158853826587,0
41.717408330764506,-123.18988393123676,1
41.7199305547346,-123.17817853899163,0
41.72245154549611,-123.16647236177153,1
41.72497130290855,-123.15476539981782,0
41.72748982683153,-123.14305765337207,0
41.730007117124636,-123.13134912267601,0
41.732523173647564,-123.1196398079717,1
41.73503799625995,-123.10792970950135,4
41.73755158482155,-123.09621882750741,6
41.7400639391921,-123.08450716223257,9
41.74257505923141,-123.07279471391978,1
41.745084944799295,-123.0610814828121,1
41.74759359575561,-123.04936746915293,9
41.750101011960254,-123.03765267318586,18
41.75260719327318,-123.02593709515466,18
41.75511213955433,-123.01422073530341,8
41.75761585066372,-123.00250359387633,6
41.760118326461374,-122.99078567111793,7
41.762619566807366,-122.97906696727294,8
41.76511957156182,-122.96734748258625,4
41.76761834058485,-122.95562721730305,2
41.770115873736664,-122.9439061716687,3
41.772612170877444,-122.93218434592883,0
41.77510723186746,-122.92046174032927,0
41.777601056567015,-122.90873835511609,0
41.78009364483639,-122.89701419053557,1
41.78258499653596,-122.88528924683423,1
41.78507511152611,-122.87356352425877,4
41.78756398966729,-122.86183702305622,3
41.79005163081994,-122.85010974347371,3
41.792538034844554,-122.83838168575866,2
41.79502320160168,-122.82665285015871,2
41.7975071309519,-122.81492323692173,2
41.7999898227558,-122.8031928462958,3
41.80247127687403,-122.79146167852926,3
41.80495149316727,-122.7797297338706,0
41.807430471496254,-122.7679970125686,0
41.80990821172169,-122.75626351487227,0
41.81238471370441,-122.7445292410308,7
41.81485997730521,-122.73279419129362,6
