x,y,risk
-1864718.7104967523,-94168.32322269399,3
-1863718.7104967523,-94168.32322269399,2
-1862718.7104967523,-94168.32322269399,2
-1861718.7104967523,-94168.32322269399,2
-1860718.7104967523,-94168.32322269399,3
-1859718.7104967523,-94168.32322269399,3
-1858718.7104967523,-94168.32322269399,0
-1857718.7104967523,-94168.32322269399,0
-1856718.7104967523,-94168.32322269399,0
-1855718.7104967523,-94168.32322269399,7
-1854718.7104967523,-94168.32322269399,6
-1853718.7104967523,-94168.32322269399,12
-1852718.7104967523,-94168.32322269399,9
-1851718.7104967523,-94168.32322269399,11
-1850718.7104967523,-94168.32322269399,6
-1849718.7104967523,-94168.32322269399,10
-1848718.7104967523,-94168.32322269399,5
-1847718.7104967523,-94168.32322269399,6
-1846718.7104967523,-94168.32322269399,7
-1845718.7104967523,-94168.32322269399,14
-1844718.7104967523,-94168.32322269399,251
-1843718.7104967523,-94168.32322269399,251
-1842718.7104967523,-94168.32322269399,251
-1841718.7104967523,-94168.32322269399,251
-1840718.7104967523,-94168.32322269399,251
-1839718.7104967523,-94168.32322269399,14
-1838718.7104967523,-94168.32322269399,6
-1837718.7104967523,-94168.32322269399,7
-1836718.7104967523,-94168.32322269399,5
-1835718.7104967523,-94168.32322269399,7
-1834718.7104967523,-94168.32322269399,12
-1833718.7104967523,-94168.32322269399,9
-1832718.7104967523,-94168.32322269399,13
-1831718.7104967523,-94168.32322269399,9
-1830718.7104967523,-94168.32322269399,4
-1829718.7104967523,-94168.32322269399,6
-1828718.7104967523,-94168.32322269399,6
-1827718.7104967523,-94168.32322269399,251
-1826718.7104967523,-94168.32322269399,251
-1963718.7104967523,-95168.32322269399,0
-1962718.7104967523,-95168.32322269399,0
-1961718.7104967523,-95168.32322269399,0
-1960718.7104967523,-95168.32322269399,0
-1959718.7104967523,-95168.32322269399,0
-1958718.7104967523,-95168.32322269399,0
-1957718.7104967523,-95168.32322269399,0
-1956718.7104967523,-95168.32322269399,0
-1955718.7104967523,-95168.32322269399,0
-1954718.7104967523,-95168.32322269399,0
-1953718.7104967523,-95168.32322269399,0
-1952718.7104967523,-95168.32322269399,0
-1951718.7104967523,-95168.32322269399,0
-1950718.7104967523,-95168.32322269399,0
-1949718.7104967523,-95168.32322269399,0
-1948718.7104967523,-95168.32322269399,0
